id,user_id,gesture,reading_1,reading_2,timestamp
9f2ecdb4-dacc-4792-b1f6-84c48fb0a8b8,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_closed.jpg,50,30,1242134
id,user_id,gesture,reading_1,reading_2,timestamp
9f2ecdb4-dacc-4792-b1f6-84c48fb0a8b8,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_closed.jpg,30,40,234234
id,user_id,gesture,reading_1,reading_2,timestamp
9f2ecdb4-dacc-4792-b1f6-84c48fb0a8b8,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_closed.jpg,23,45,234234
id,user_id,gesture,reading_1,reading_2,timestamp
ca58552d-5c5f-47e6-9d6f-1326abdae8f1,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_closed.jpg,50,30,1242134
id,user_id,gesture,reading_1,reading_2,timestamp
ca58552d-5c5f-47e6-9d6f-1326abdae8f1,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_closed.jpg,30,40,234234
id,user_id,gesture,reading_1,reading_2,timestamp
ca58552d-5c5f-47e6-9d6f-1326abdae8f1,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_closed.jpg,23,45,234234
id,user_id,gesture,reading_1,reading_2,timestamp
90ff9e8a-ab55-41d0-9f42-6f5b294fd9c9,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_open.jpg,50,30,1242134
id,user_id,gesture,reading_1,reading_2,timestamp
90ff9e8a-ab55-41d0-9f42-6f5b294fd9c9,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_open.jpg,30,40,234234
id,user_id,gesture,reading_1,reading_2,timestamp
90ff9e8a-ab55-41d0-9f42-6f5b294fd9c9,57def34b-382e-45d2-91b0-6babe75cc71e,/static/calibrations/calibration_open.jpg,23,45,234234
