id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
72c00e90-74ec-4ab2-af84-93dffb61ced7,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
6e900609-bc38-47b5-8ae4-e901fa4367cf,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
36b06162-beb7-4947-a09d-0cf6841bcde6,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
57def34b-382e-45d2-91b0-6babe75cc71e,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
354f83ee-d827-4263-a15e-c7979f4a5a80,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
8c5eaa50-f0f9-439e-855c-9d27750cfc70,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
4d5e9105-8ec9-4c52-975c-282122e88fde,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
bda94092-1b69-4902-8fd5-765583022d65,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
7013103d-0a3e-4f1b-8b57-305f10353c30,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
f9483dd8-4d2b-4264-ae0c-e0a960fa3595,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
a4ae290b-399e-4d70-876a-fddba9fabe14,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
ab26d77e-4426-456c-8cd6-801639b64011,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
0f931314-34ac-4697-b63f-7902eb45daf4,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
31a2baf7-63b4-4031-869e-101f0d946c92,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
f5f4228b-af91-4144-883a-cbf984b691f2,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
f012e7f8-a2f9-44e1-a32d-ad055d62477c,18,m,1,n,r,18,28
id,age,gender,phys_exercise,wrist_function,handedness,wrist_circumference,arm_circumference
0de4758f-854c-480a-a2c8-5d4aa02558ca,18,m,1,n,r,18,28
